SPEC,VOL,MASS,AGE,SPOT,NEST,TEMP,SPC
Hydra,51,70,10,5,Forest,23,Hydra
Dragon,162,433,110,4,Coastal,35.2,Dragon
Dragon,51,57,166,1,Coastal,20.3,Dragon
Dragon,1299,3995,142,5,Forest,36.5,Dragon
Hydra,11,12,394,1,Swamp,40.3,Hydra
Wyvern,16,41,90,4,Forest,27.8,Wyvern
Dragon,746,390,164,0,Mountain,32.6,Dragon
Hydra,19,13,402,2,Swamp,37.2,Hydra
Wyvern,150,182,219,8,Mountain,24.2,Wyvern
Hydra,51,52,305,2,Mountain,40.1,Hydra
Hydra,166,211,57,2,Swamp,42.6,Hydra
Hydra,60,19,138,3,Forest,27.6,Hydra
Hydra,14,20,427,4,Swamp,37.9,Hydra
Wyvern,256,144,20,10,Mountain,43.2,Wyvern
Dragon,221,640,162,2,Mountain,42,Dragon
Hydra,8,5,473,6,Forest,22.9,Hydra
Wyvern,413,1118,137,15,Mountain,49.1,Wyvern
Hydra,35,22,278,9,Swamp,41.2,Hydra
Hydra,8,1,150,1,Coastal,33.4,Hydra
Dragon,112,1281,408,3,Forest,27.3,Dragon
Dragon,589,1456,9,1,Forest,39.8,Dragon
Wyvern,325,560,301,19,Coastal,18.9,Wyvern
Dragon,87,108,307,2,Volcanic,94.6,Dragon
Hydra,53,82,418,10,Volcanic,93.9,Hydra
Wyvern,21,90,475,2,Volcanic,80.4,Wyvern
Hydra,100,86,497,2,Mountain,40.8,Hydra
Hydra,130,58,104,0,Swamp,38.3,Hydra
Dragon,443,841,374,4,Forest,38.4,Dragon
Hydra,43,8,346,10,Mountain,40,Hydra
Hydra,93,54,409,0,Forest,24.2,Hydra
Wyvern,22,14,123,0,Volcanic,73.2,Wyvern
Hydra,43,6,196,5,Forest,28.9,Hydra
Dragon,728,306,364,0,Coastal,12,Dragon
Hydra,55,130,344,10,Mountain,39.7,Hydra
Hydra,26,30,269,8,Forest,28.7,Hydra
Dragon,0,0,261,0,Volcanic,83.5,Dragon
Hydra,7,5,68,3,Swamp,30,Hydra
Wyvern,194,175,190,16,Mountain,26.4,Wyvern
Wyvern,60,35,72,13,Volcanic,79.2,Wyvern
Dragon,8,16,78,4,Swamp,30.8,Dragon
Hydra,0,0,246,8,Forest,17.3,Hydra
Wyvern,171,54,496,17,Volcanic,74.4,Wyvern
Hydra,77,93,208,10,Swamp,24.9,Hydra
Wyvern,397,370,460,5,Mountain,26.8,Wyvern
Hydra,15,13,392,2,Mountain,32.4,Hydra
Wyvern,342,336,333,1,Coastal,22.9,Wyvern
Wyvern,14,37,199,12,Forest,26.2,Wyvern
Wyvern,0,0,34,13,Mountain,33.4,Wyvern
Hydra,3,7,356,4,Coastal,28.3,Hydra
Wyvern,8,7,189,20,Forest,31.3,Wyvern
Hydra,117,131,177,6,Swamp,24.7,Hydra
Dragon,335,802,151,5,Swamp,29.2,Dragon
Hydra,6,2,498,5,Volcanic,78.7,Hydra
Dragon,16,113,163,0,Volcanic,86.5,Dragon
Wyvern,1,4,132,20,Forest,22.4,Wyvern
Hydra,131,36,202,6,Volcanic,86.4,Hydra
Hydra,14,4,141,7,Swamp,25.1,Hydra
Hydra,5,3,133,5,Coastal,8.9,Hydra
Hydra,49,22,163,4,Coastal,19.5,Hydra
Wyvern,25,36,391,6,Mountain,65.5,Wyvern
Hydra,48,117,431,1,Swamp,38.7,Hydra
Hydra,1,1,227,10,Swamp,32.1,Hydra
Hydra,29,26,55,5,Forest,24,Hydra
Wyvern,88,91,429,15,Volcanic,72.3,Wyvern
Wyvern,112,587,185,15,Volcanic,70.5,Wyvern
Hydra,56,34,349,4,Swamp,34.1,Hydra
Dragon,0,0,388,5,Volcanic,92.9,Dragon
Hydra,21,25,283,8,Mountain,47.4,Hydra
Dragon,0,0,357,0,Swamp,34.7,Dragon
Wyvern,152,410,235,0,Mountain,51.5,Wyvern
Wyvern,257,563,281,3,Forest,31.3,Wyvern
Wyvern,465,522,323,15,Forest,32.2,Wyvern
Wyvern,155,323,81,8,Mountain,38.7,Wyvern
Wyvern,174,143,248,14,Coastal,30.4,Wyvern
Hydra,4,4,61,7,Mountain,43.4,Hydra
Wyvern,7,24,402,5,Volcanic,89.3,Wyvern
Wyvern,23,13,17,5,Coastal,11.6,Wyvern
Hydra,20,18,160,0,Swamp,41.4,Hydra
Wyvern,18,14,371,9,Coastal,36,Wyvern
Wyvern,31,38,157,15,Coastal,28.1,Wyvern
Hydra,1,2,226,1,Forest,26.5,Hydra
Hydra,3,0,475,10,Forest,33.4,Hydra
Dragon,233,819,365,3,Forest,27.8,Dragon
Wyvern,14,12,206,4,Coastal,24.1,Wyvern
Wyvern,7,6,155,14,Volcanic,79.4,Wyvern
Dragon,72,195,49,1,Mountain,41.3,Dragon
Hydra,23,8,314,6,Mountain,39.6,Hydra
Hydra,4,3,443,2,Swamp,37.8,Hydra
Hydra,48,82,370,3,Forest,42.2,Hydra
Hydra,20,5,113,5,Swamp,21.4,Hydra
Hydra,7,20,449,10,Volcanic,79.2,Hydra
Dragon,0,0,36,2,Swamp,44.8,Dragon
Hydra,30,53,329,1,Volcanic,72.6,Hydra
Wyvern,46,95,399,19,Mountain,24.8,Wyvern
Wyvern,23,41,464,20,Mountain,52.5,Wyvern
Wyvern,6,19,408,20,Swamp,33.8,Wyvern
Wyvern,69,63,209,0,Coastal,25,Wyvern
Hydra,62,37,283,6,Swamp,35.9,Hydra
Dragon,944,4894,452,4,Swampp,34.4,Dragon
Hydra,95,-132,47,9,Coastal,31.6,Hydra
Hydra,5,7,145,0,Swamp,46.3,Hydra
Hydra,17,13,206,9,Swamp,40.1,Hydra
Hydra,12,8,432,3,Swamp,25.5,Hydra
Hydra,29,69,392,5,Swamp,34.3,Hydra
Wyvern,45,45,446,2,Coastal,19.7,Wyvern
Hydra,28,9,414,0,Swamp,21.4,Hydra
Hydra,60,50,440,4,Forest,36.4,Hydra
Wyvern,109,90,227,14,Coastal,23.1,Wyvern
Hydra,85,65,100,8,Swamp,35,Hydra
Hydra,58,51,392,8,Swamp,38.8,Hydra
Hydra,0,0,8,8,Volcanic,88.4,Hydra
Hydra,29,13,317,8,Swamp,27.4,Hydra
Wyvern,178,144,142,0,Forest,40.7,Wyvern
Hydra,85,57,359,5,Volcanic,73.1,Hydra
Hydra,14,21,472,1,Volcanic,78.4,Hydra
Dragon,15,13,192,3,Volcanic,72.3,Dragon
Dragon,211,134,433,3,Swamp,34.1,Dragon
Wyvern,20,9,131,7,Coastal,20.3,Wyvern
Hydra,63,69,15,10,Swamp,28,Hydra
Hydra,91,82,292,4,Mountain,35.4,Hydra
Hydra,40,22,92,1,Volcanic,79.9,Hydra
Hydra,152,266,95,7,Mountain,38.5,Hydra
Hydra,31,57,435,10,Forest,43.2,Hydra
Hydra,15,14,447,0,Swamp,32.7,Hydra
Wyvern,126,119,469,6,Mountain,48,Wyvern
Hydra,134,196,247,6,Forest,43,Hydra
Wyvern,309,268,384,6,Mountain,42.2,Wyvern
Wyvern,51,40,40,20,Forest,29.5,Wyvern
Wyvern,48,110,75,8,Forest,33.7,Wyvern
Wyvern,25,8,123,3,Volcanic,91.3,Wyvern
Hydra,48,24,410,6,Swamp,33.1,Hydra
Dragon,515,1779,134,4,Volcanic,80,Dragon
Wyvern,57,89,241,18,Forest,23.4,Wyvern
Hydra,8,1,107,4,Swamp,29.1,Hydra
Hydra,10,15,418,7,Mountain,41,Hydra
Wyvern,61,39,380,18,Coastal,35.6,Wyvern
Hydra,55,90,271,7,Swamp,31.4,Hydra
Hydra,14,11,22,6,Mountain,37.9,Hydra
Hydra,7,10,293,8,Volcanic,75.3,Hydra
Wyvern,38,60,297,19,Forest,25.6,Wyvern
Wyvern,267,166,242,19,Coastal,38.4,Wyvern
Wyvern,362,1314,125,6,Mountain,54.5,Wyvern
Hydra,13,13,457,8,Mountain,47.2,Hydra
Hydra,46,55,474,2,Mountain,34.9,Hydra
Hydra,0,0,155,2,Forest,41.3,Hydra
Hydra,21,31,257,10,Mountain,28,Hydra
Hydra,78,81,358,0,Swamp,42.4,Hydra
Hydra,3,3,334,1,Coastal,26.6,Hydra
Hydra,74,56,209,7,Swamp,42,Hydra
Hydra,28,10,208,9,Mountain,39.3,Hydra
Dragon,606,150,302,5,Volcanic,66,Dragon
Wyvern,32,64,346,7,Mountain,35.8,Wyvern
Hydra,105,12,252,4,Swamp,31.2,Hydra
Hydra,28,33,281,9,Mountain,51,Hydra
Hydra,52,44,498,2,Swamp,27.6,Hydra
Wyvern,132,228,311,6,Mountain,53,Wyvern
Wyvern,3,1,263,16,Mountain,30.9,Wyvern
Hydra,1,2,125,0,Forest,21.4,Hydra
Hydra,20,24,90,0,Coastal,32.2,Hydra
Hydra,4,4,385,4,Forest,27.2,Hydra
Wyvern,71,124,222,17,Volcanic,84.4,Wyvern
Dragon,22,38,454,0,Coastal,13,Dragon
Dragon,514,5162,339,4,Forest,17.5,Dragon
Hydra,1,1,94,5,Forest,16.8,Hydra
Wyvern,53,17,284,11,Volcanic,78,Wyvern
Wyvern,29,27,487,17,Forest,36.2,Wyvern
Hydra,94,49,243,5,Forest,29.6,Hydra
Dragon,73,26,369,1,Coastal,46.2,Dragon
Hydra,0,0,366,9,Coastal,20.3,Hydra
Dragon,133,69,274,3,Mountain,50.5,Dragon
Hydra,5,7,128,1,Forest,37.6,Hydra
Hydra,15,4,117,3,Forest,31.7,Hydra
Wyvern,132,208,316,9,Coastal,18.2,Wyvern
Hydra,11,8,432,6,Forest,33.5,Hydra
Wyvern,20,16,478,7,Mountain,42.5,Wyvern
Hydra,8,3,434,10,Coastal,10.3,Hydra
Dragon,64,92,208,2,Forest,41,Dragon
Wyvern,58,65,462,17,Volcanic,79,Wyvern
Wyvern,9,19,112,5,Volcanic,67.5,Wyvern
Dragon,36,46,388,4,Mountain,35,Dragon
Hydra,37,3,430,9,Forest,41.1,Hydra
Wyvern,20,16,61,19,Swamp,27.8,Wyvern
Hydra,41,11,140,1,Volcanic,76.1,Hydra
Wyvern,210,457,304,3,Mountain,39.6,Wyvern
Hydra,163,44,144,4,Coastal,35.3,Hydra
Hydra,136,318,8,7,Swamp,44.2,Hydra
Hydra,79,116,231,3,Mountain,45.9,Hydra
Wyvern,47,36,113,13,Forest,34.1,Wyvern
Hydra,13,14,75,6,Mountain,45,Hydra
Wyvern,10,14,22,17,Coastal,6.3,Wyvern
Dragon,8,2,202,4,Forest,40.3,Dragon
Hydra,2,4,384,5,Mountain,44.8,Hydra
Wyvern,14,4,137,15,Volcanic,73,Wyvern
Wyvern,8,5,447,2,Coastal,22.9,Wyvern
Wyvern,155,810,190,20,Mountain,32.5,Wyvern
Wyvern,40,45,202,10,Forest,30.2,Wyvern
Hydra,30,63,489,3,Forest,30,Hydra
Wyvern,8,3,51,9,Coastal,30.6,Wyvern
Hydra,5,4,471,3,Swamp,30.2,Hydra
Hydra,19,24,126,5,Mountain,32.5,Hydra
Hydra,136,364,22,6,Swamp,30.1,Hydra
Wyvern,332,494,486,14,Mountain,42.6,Wyvern
Wyvern,190,292,265,10,Forest,47.8,Wyvern
Hydra,11,5,404,6,Swamp,44.8,Hydra
Wyvern,244,127,144,17,Mountain,45.8,Wyvern
Hydra,79,30,195,10,Mountain,38.7,Hydra
Hydra,61,69,276,0,Swamp,36.1,Hydra
Hydra,49,35,153,5,Volcanic,95.9,Hydra
Wyvern,47,97,133,11,Volcanic,75.2,Wyvern
Hydra,43,22,309,2,Swamp,40.2,Hydra
Wyvern,223,141,341,7,Mountain,39.5,Wyvern
Wyvern,59,84,61,1,Swamp,41.7,Wyvern
Hydra,57,27,180,0,Forest,34.8,Hydra
Hydra,36,41,166,9,Coastal,27.8,Hydra
Hydra,0,0,0,6,Swamp,42.6,Hydra
Dragon,51,192,26,5,Swamp,41.8,Dragon
Hydra,15,27,299,3,Forest,29.1,Hydra
Wyvern,7,22,224,5,Mountain,31.3,Wyvern
Wyvern,300,52,160,9,Coastal,29.4,Wyvern
Hydra,13,7,210,3,Forest,36.4,Hydra
Wyvern,268,833,413,4,Coastal,21.6,Wyvern
Hydra,11,11,124,4,Forest,40.9,Hydra
Wyvern,62,62,18,2,Mountain,39.6,Wyvern
Hydra,9,11,18,6,Mountain,37.4,Hydra
Wyvern,62,16,368,17,Coastal,23.6,Wyvern
Hydra,25,4,258,3,Swamp,22.4,Hydra
Wyvern,0,0,24,8,Forest,23.9,Wyvern
Hydra,15,15,95,9,Swamp,26.5,Hydra
Hydra,122,58,478,1,Forest,35.6,Hydra
Hydra,10,7,381,5,Forest,26.7,Hydra
Dragon,6,4,293,2,Forest,30.9,Dragon
Hydra,14,18,192,1,Forest,18.1,Hydra
Hydra,5,3,158,7,Swamp,38.6,Hydra
Dragon,2,5,423,4,Mountain,46.8,Dragon
Hydra,17,11,135,0,Forest,27.2,Hydra
Hydra,44,32,348,10,Coastal,23.4,Hydra
Hydra,117,15,186,8,Mountain,44.2,Hydra
Wyvern,41,76,449,0,Mountain,45,Wyvern
Hydra,73,49,492,3,Swamp,40.3,Hydra
Hydra,5,10,13,4,Mountain,38.5,Hydra
Dragon,61,267,95,5,Mountain,35.4,Dragon
Wyvern,32,46,84,3,Mountain,41.8,Wyvern
Hydra,171,75,362,0,Mountain,44.2,Hydra
Hydra,60,32,74,10,Swamp,29,Hydra
Hydra,21,14,80,9,Swamp,17,Hydra
Hydra,69,124,171,0,Swamp,41.3,Hydra
Dragon,0,0,92,0,Mountain,39.8,Dragon
Wyvern,117,276,443,17,Coastal,29.6,Wyvern
Hydra,4,9,351,5,Forest,26.9,Hydra
Hydra,108,106,437,0,Swamp,41.1,Hydra
Wyvern,17,25,74,4,Coastal,12.4,Wyvern
Hydra,37,12,377,1,Volcanic,85.2,Hydra
Wyvern,34,40,266,17,Coastal,14.5,Wyvern
Wyvern,18,60,264,18,Volcanic,78.5,Wyvern
Hydra,4,4,146,2,Volcanic,91.8,Hydra
Hydra,3,1,396,0,Forest,20.2,Hydra
Dragon,635,632,194,3,Swamp,41.5,Dragon
Wyvern,84,150,93,19,Volcanic,82.7,Wyvern
Wyvern,419,778,481,14,Forest,31.1,Wyvern
Hydra,19,14,144,9,Forest,31.3,Hydra
Hydra,3,1,133,6,Volcanic,68.4,Hydra
Wyvern,261,340,187,19,Forest,21.3,Wyvern
Hydra,9,6,101,4,Volcanic,71.1,Hydra
Hydra,154,602,2,0,Swamp,34.2,Hydra
Wyvern,59,48,120,8,Volcanic,80.8,Wyvern
Hydra,22,7,367,6,Swamp,39,Hydra
Wyvern,149,110,490,16,Volcanic,81.6,Wyvern
Wyvern,8,31,451,2,Mountain,42.9,Wyvern
Dragon,19,28,295,5,Volcanic,79.1,Dragon
Hydra,91,99,55,10,Volcanic,80.4,Hydra
Hydra,115,88,149,1,Swamp,30.2,Hydra
Wyvern,161,460,16,3,Mountain,52.4,Wyvern
Wyvern,0,0,269,6,Coastal,15,Wyvern
Wyvern,38,23,187,9,Mountain,41.7,Wyvern
Hydra,27,9,265,6,Swamp,25.5,Hydra
Wyvern,149,218,498,16,Volcanic,80.5,Wyvern
Hydra,36,16,7,2,Forest,20.7,Hydra
Hydra,8,1,148,6,Swamp,41.3,Hydra
Hydra,4,4,307,3,Swamp,35,Hydra
Hydra,207,156,470,1,Forest,29.6,Hydra
Hydra,19,16,345,6,Forest,30.1,Hydra
Wyvern,16,59,251,9,Volcanic,87.5,Wyvern
Wyvern,6,19,1,1,Coastal,24,Wyvern
Dragon,558,641,325,3,Mountain,35.3,Dragon
Wyvern,370,688,252,13,Mountain,34.2,Wyvern
Wyvern,69,113,399,11,Volcanic,69.1,Wyvern
Hydra,9,5,383,0,Coastal,28.8,Hydra
Hydra,67,157,124,5,Volcanic,74.4,Hydra
Wyvern,120,162,474,1,Swamp,43.2,Wyvern
Wyvern,344,159,129,14,Volcanic,83.9,Wyvern
Hydra,22,21,449,3,Coastal,35.7,Hydra
Hydra,73,90,414,6,Swamp,24.2,Hydra
Wyvern,35,36,13,10,Coastal,25.6,Wyvern
Dragon,316,1996,408,0,Swamp,22.9,Dragon
Dragon,658,2735,183,1,Volcanic,79.6,Dragon
Hydra,99,181,9,10,Swamp,41.9,Hydra
Hydra,74,109,35,6,Forest,36.1,Hydra
Hydra,5,1,247,4,Swamp,35.2,Hydra
Hydra,44,17,163,1,Swamp,30.3,Hydra
Wyvern,14,22,247,20,Volcanic,77.2,Wyvern
Dragon,255,218,332,1,Volcanic,77.4,Dragon
Hydra,1,2,376,1,Volcanic,70.4,Hydra
Hydra,25,12,304,7,Mountain,28.5,Hydra
Dragon,755,3079,57,5,Swamp,43.9,Dragon
Wyvern,260,106,22,0,Volcanic,80.8,Wyvern
Hydra,21,15,295,10,Forest,25.2,Hydra
Hydra,67,205,386,8,Swamp,24.2,Hydra
Hydra,40,2,345,2,Volcanic,79.6,Hydra
Hydra,38,7,167,3,Forest,15.7,Hydra
Hydra,7,4,168,1,Volcanic,72.8,Hydra
Dragon,4,3,102,1,Volcanic,85.8,Dragon
Dragon,74,117,394,2,Volcanic,75,Dragon
Wyvern,236,44,281,18,Coastal,22.6,Wyvern
Wyvern,58,29,435,10,Coastal,25.1,Wyvern
Wyvern,59,32,445,1,Coastal,21.1,Wyvern
Wyvern,66,126,76,12,Mountain,28.7,Wyvern
Hydra,3,2,287,0,Mountain,51.3,Hydra
Hydra,18,13,60,8,Swamp,20.8,Hydra
Wyvern,7,19,256,6,Swamp,35.8,Wyvern
Hydra,35,37,137,5,Forest,32,Hydra
Dragon,125,1028,264,0,Forest,16.8,Dragon
Hydra,9,2,154,5,Coastal,19.7,Hydra
Hydra,6,5,78,7,Coastal,27.2,Hydra
Hydra,206,163,456,1,Volcanic,88,Hydra
Hydra,15,26,147,2,Forest,31.4,Hydra
Wyvern,147,201,40,15,Mountain,40.6,Wyvern
Hydra,143,197,336,7,Mountain,38.3,Hydra
Wyvern,93,14,328,11,Swamp,33.9,Wyvern
Hydra,24,18,290,10,Swamp,29.4,Hydra
Hydra,64,59,453,0,Mountain,51.8,Hydra
Wyvern,48,51,316,17,Volcanic,93.1,Wyvern
Hydra,139,151,8,7,Forest,17.6,Hydra
Hydra,9,8,352,0,Forest,40.2,Hydra
Hydra,49,30,192,9,Swamp,38.9,Hydra
Dragon,396,655,372,2,Mountain,40.4,Dragon
Wyvern,23,9,478,6,Mountain,38.7,Wyvern
Dragon,196,478,312,5,Volcanic,68.9,Dragon
Hydra,94,68,322,6,Swamp,41.3,Hydra
Hydra,54,32,49,10,Mountain,41.1,Hydra
Hydra,5,4,157,6,Mountain,48,Hydra
Hydra,1,1,253,2,Swamp,55.3,Hydra
Dragon,435,824,200,2,Mountain,21.4,Dragon
Hydra,0,0,278,5,Swamp,49.7,Hydra
Wyvern,369,1025,51,1,Mountain,36.6,Wyvern
Hydra,5,2,373,0,Swamp,37.7,Hydra
Hydra,45,9,155,5,Volcanic,81.1,Hydra
Hydra,26,3,247,6,Forest,39.6,Hydra
Wyvern,193,223,484,18,Mountain,34.7,Wyvern
Hydra,3,5,11,1,Mountain,44,Hydra
Dragon,411,2584,246,4,Swamp,33.2,Dragon
Wyvern,164,157,220,13,Coastal,28.4,Wyvern
Wyvern,463,1158,266,4,Forest,22.6,Wyvern
Wyvern,8,2,205,16,Mountain,33.1,Wyvern
Wyvern,190,41,283,12,Coastal,21.8,Wyvern
Wyvern,8,11,465,17,Forest,25.9,Wyvern
Hydra,9,5,235,5,Swamp,43.1,Hydra
Wyvern,146,193,463,2,Mountain,16.5,Wyvern
Hydra,45,80,135,4,Forest,39.6,Hydra
Wyvern,1,1,77,16,Coastal,29.9,Wyvern
Hydra,40,25,323,6,Volcanic,93.2,Hydra
Wyvern,119,41,353,0,Mountain,47.5,Wyvern
Wyvern,15,21,104,11,Volcanic,63.9,Wyvern
Dragon,470,271,298,4,Swamp,23.5,Dragon
Hydra,0,0,224,10,Coastal,30.2,Hydra
Wyvern,348,1572,313,1,Mountain,31.4,Wyvern
Hydra,159,70,500,1,Coastal,29.4,Hydra
Dragon,219,117,385,1,Coastal,26.5,Dragon
Wyvern,0,0,108,6,Volcanic,67.5,Wyvern
Hydra,34,14,186,3,Volcanic,74.4,Hydra
Hydra,3,2,383,2,Coastal,29.9,Hydra
Hydra,64,64,22,0,Mountain,43.6,Hydra
Wyvern,244,22,463,17,Forest,24.2,Wyvern
Hydra,109,193,477,4,Forest,22.4,Hydra
Wyvern,40,34,46,20,Mountain,35.3,Wyvern
Wyvern,139,310,28,20,Mountain,36.5,Wyvern
Hydra,6,1,253,9,Forest,36.2,Hydra
